count,score0,score1,diff,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12
81,36,20,16,2,5,8,28,26,24,23,9,11,15,14,16
82,83,20,63,26,25,11,17,31,32,33,29,28,48,58,63
83,34,48,-14,0,2,2,0,-1,15,29,31,17,7,-13,-14
84,13,38,-25,-5,-3,-4,-7,-9,-5,-3,-7,-3,-2,-3,-25
85,66,73,-7,-3,17,14,4,20,50,48,45,31,25,9,-7
86,46,73,-27,2,8,-28,-50,-52,-54,-48,-46,-18,-16,-22,-27
87,43,56,-13,22,23,13,14,-18,-16,-15,-19,-27,-25,-11,-13
88,11,36,-25,-6,-12,-18,-16,-14,-8,-9,-10,-24,-25,-24,-25
89,103,34,69,-2,-32,-18,-15,-9,7,19,21,55,69,67,69
90,64,52,12,-12,-10,-12,-15,-35,-1,-2,2,6,24,26,12
91,32,72,-40,-4,-8,-7,7,23,24,23,13,-1,-15,-35,-40
92,11,109,-98,-1,-17,-31,-53,-83,-80,-81,-79,-85,-79,-93,-98
93,52,17,35,1,7,27,43,48,42,43,45,39,39,34,35
94,10,64,-54,-1,-6,-7,-5,-11,-13,-27,-28,-22,-36,-34,-54
95,54,47,7,-6,8,5,11,27,26,21,19,14,-6,-11,7
96,51,70,-19,14,8,13,7,6,26,28,12,-24,-29,-23,-19
97,19,65,-46,-14,-12,-10,-12,-6,-11,-13,-49,-46,-44,-40,-46
98,28,40,-12,-6,10,4,6,8,-6,-12,-17,-12,-13,-10,-12
99,5,79,-74,5,3,-2,-16,-22,-28,-28,-32,-38,-70,-72,-74
100,23,31,-8,2,-14,-15,-14,-15,-17,-27,-21,-9,-7,-8,-8
