count,score0,score1,diff,winner,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12
70,25,42,-17,CPU:Hard,2,3,5,21,15,15,16,18,19,-9,-15,-17
71,34,25,9,P1:Normal,-2,4,6,12,14,13,11,9,-7,-8,10,9
72,41,20,21,P1:Normal,-4,-5,-3,-5,9,4,3,2,-4,14,16,21
73,14,15,-1,CPU:Hard,-6,-8,-7,-6,-8,-9,-6,-4,-6,-1,-3,-1
74,39,69,-30,CPU:Hard,-18,-20,18,6,5,4,-12,-11,-13,-14,-28,-30
75,26,21,5,P1:Normal,2,4,2,8,9,8,22,21,19,5,4,5
76,7,19,-12,CPU:Hard,2,0,-5,-6,-7,-10,-13,-11,-9,-8,-10,-12
77,7,51,-44,CPU:Hard,-14,-9,-11,-21,-27,-29,-29,-30,-31,-45,-43,-44
78,11,23,-12,CPU:Hard,0,-4,-1,0,0,-16,-15,-12,-10,-9,-11,-12
79,8,71,-63,CPU:Hard,-14,-32,-34,-32,-31,-32,-33,-34,-33,-65,-61,-63
80,20,27,-7,CPU:Hard,-5,-10,-11,-9,-11,-15,-20,-21,-22,-24,-25,-7
81,36,18,18,P1:Normal,-1,0,-14,-15,-1,0,-1,1,0,14,17,18
82,34,3,31,P1:Normal,12,10,12,15,16,19,24,26,28,27,30,31
83,58,41,17,P1:Normal,2,16,17,37,43,57,57,35,31,30,16,17
84,12,57,-45,CPU:Hard,1,-1,-21,-15,-12,-10,-11,-11,-33,-34,-40,-45
85,59,21,38,P1:Normal,-5,9,8,7,10,24,29,31,17,31,37,38
86,5,39,-34,CPU:Hard,-16,-21,-26,-28,-29,-30,-31,-36,-37,-39,-37,-34
87,20,38,-18,CPU:Hard,2,1,15,-13,-11,-12,-14,-15,-17,-18,-16,-18
88,38,30,8,P1:Normal,14,28,29,13,11,1,2,4,3,2,2,8
89,47,84,-37,CPU:Hard,14,0,1,-27,-26,-32,-33,-17,-20,-19,-51,-37
90,28,8,20,P1:Normal,-1,-2,-1,1,17,13,19,20,19,19,18,20
